Site	Pulse	SetDen
Cdina	1	2.7
Cdina	1	2.7
Cdina	1	2.7
Cdina	1	2.7
Cdina	1	5.4
Cdina	1	5.4
Cdina	1	8.1
Cdina	1	8.1
Cdina	1	10.8
Cdina	1	10.8
Cdina	2	2.7
Cdina	2	2.7
Cdina	2	5.4
Cdina	2	5.4
Cdina	2	8.1
Cdina	2	10.8
Cdina	2	13.5
Cdina	2	13.5
Cdina	2	16.2
Cdina	2	18.9
Cdina	3	0
Cdina	3	0
Cdina	3	0
Cdina	3	0
Cdina	3	2.2
Cdina	3	2.2
Cdina	3	4.4
Cdina	3	6.6
Cdina	3	11.0
Cdina	3	22.0
Cdina	4	0
Cdina	4	2.2
Cdina	4	4.4
Cdina	4	4.4
Cdina	4	4.4
Cdina	4	15.4
Cdina	4	26.4
Cdina	4	26.4
Cdina	4	26.4
Cdina	4	68.3
Cdina	5	2.2
Cdina	5	2.2
Cdina	5	4.4
Cdina	5	4.4
Cdina	5	4.4
Cdina	5	4.4
Cdina	5	6.6
Cdina	5	8.8
Cdina	5	8.8
Cdina	5	11.0
Cdina	6	0
Cdina	6	0
Cdina	6	0
Cdina	6	0
Cdina	6	0
Cdina	6	2.2
Cdina	6	4.4
Cdina	6	4.4
Cdina	6	13.2
Cdina	6	24.2
Hin	1	0
Hin	1	0
Hin	1	0
Hin	1	3.6
Hin	1	3.6
Hin	1	3.6
Hin	1	3.6
Hin	1	3.6
Hin	1	10.7
Hin	1	14.3
Hin	2	0
Hin	2	0
Hin	2	0
Hin	2	0
Hin	2	0
Hin	2	3.6
Hin	2	3.6
Hin	2	3.6
Hin	2	10.7
Hin	2	17.9
Hin	3	1.9
Hin	3	1.9
Hin	3	1.9
Hin	3	1.9
Hin	3	3.9
Hin	3	3.9
Hin	3	3.9
Hin	3	5.8
Hin	3	5.8
Hin	3	5.8
Hin	4	1.9
Hin	4	3.9
Hin	4	5.8
Hin	4	5.8
Hin	4	5.8
Hin	4	11.6
Hin	4	11.6
Hin	4	11.6
Hin	4	21.2
Hin	4	48.2
Hin	5	1.9
Hin	5	5.8
Hin	5	7.7
Hin	5	7.7
Hin	5	7.7
Hin	5	11.6
Hin	5	13.5
Hin	5	21.2
Hin	5	42.4
Hin	5	48.2
Hin	6	0
Hin	6	0
Hin	6	0
Hin	6	1.9
Hin	6	3.9
Hin	6	5.8
Hin	6	5.8
Hin	6	7.7
Hin	6	17.3
Hin	6	25.0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	0
Hout	1	4.4
Hout	1	4.4
Hout	2	0
Hout	2	0
Hout	2	0
Hout	2	0
Hout	2	0
Hout	2	4.4
Hout	2	4.4
Hout	2	4.4
Hout	2	8.8
Hout	2	13.2
Hout	3	0
Hout	3	0
Hout	3	0
Hout	3	0
Hout	3	7.0
Hout	3	7.0
Hout	3	10.5
Hout	3	14.0
Hout	3	14.0
Hout	3	20.9
Hout	4	14.0
Hout	4	15.4
Hout	4	24.4
Hout	4	24.4
Hout	4	27.9
Hout	4	27.9
Hout	4	31.4
Hout	4	41.9
Hout	4	45.3
Hout	4	48.8
Hout	5	0
Hout	5	3.5
Hout	5	3.5
Hout	5	17.4
Hout	5	24.4
Hout	5	27.9
Hout	5	31.4
Hout	5	45.3
Hout	5	66.3
Hout	5	73.2
Hout	6	0
Hout	6	3.5
Hout	6	3.5
Hout	6	3.5
Hout	6	10.5
Hout	6	14.0
Hout	6	20.9
Hout	6	24.4
Hout	6	31.4
Hout	6	55.8
Lin	1	0
Lin	1	5.3
Lin	1	5.3
Lin	1	5.3
Lin	1	5.3
Lin	1	10.7
Lin	1	10.7
Lin	1	10.7
Lin	1	10.7
Lin	1	21.4
Lin	2	0
Lin	2	5.3
Lin	2	5.3
Lin	2	5.3
Lin	2	5.3
Lin	2	10.7
Lin	2	16.0
Lin	2	16.0
Lin	2	16.0
Lin	2	26.7
Lin	3	3.6
Lin	3	7.1
Lin	3	10.7
Lin	3	10.7
Lin	3	10.7
Lin	3	10.7
Lin	3	10.7
Lin	3	14.2
Lin	3	21.4
Lin	3	46.3
Lin	4	7.1
Lin	4	10.7
Lin	4	10.7
Lin	4	10.7
Lin	4	24.9
Lin	4	39.1
Lin	4	42.7
Lin	4	49.8
Lin	4	99.6
Lin	4	223.2
Lin	5	0
Lin	5	0
Lin	5	0
Lin	5	0
Lin	5	0
Lin	5	10.7
Lin	5	46.3
Lin	5	56.9
Lin	5	78.3
Lin	5	188.4
Lin	6	7.1
Lin	6	10.7
Lin	6	17.8
Lin	6	24.9
Lin	6	24.9
Lin	6	32.0
Lin	6	32.0
Lin	6	32.0
Lin	6	39.1
Lin	6	85.4
Maa	1	0
Maa	1	2.5
Maa	1	2.5
Maa	1	5.1
Maa	1	7.6
Maa	1	7.6
Maa	1	12.7
Maa	1	17.8
Maa	1	20.4
Maa	1	22.9
Maa	2	0
Maa	2	0
Maa	2	0
Maa	2	0
Maa	2	0
Maa	2	0
Maa	2	2.5
Maa	2	2.5
Maa	2	2.5
Maa	2	7.6
Maa	3	1.3
Maa	3	1.3
Maa	3	2.5
Maa	3	3.8
Maa	3	3.8
Maa	3	3.8
Maa	3	6.3
Maa	3	8.9
Maa	3	11.4
Maa	3	29.2
Maa	4	8.9
Maa	4	16.5
Maa	4	19.0
Maa	4	22.9
Maa	4	24.1
Maa	4	24.1
Maa	4	25.4
Maa	4	27.9
Maa	4	35.5
Maa	4	127.0
Maa	5	5.1
Maa	5	7.6
Maa	5	8.9
Maa	5	8.9
Maa	5	11.4
Maa	5	14.0
Maa	5	16.5
Maa	5	17.8
Maa	5	17.8
Maa	5	29.2
Maa	6	1.3
Maa	6	2.5
Maa	6	2.5
Maa	6	2.5
Maa	6	3.8
Maa	6	3.8
Maa	6	3.8
Maa	6	6.3
Maa	6	8.9
Maa	6	11.4
Maha	1	7.6
Maha	1	11.4
Maha	1	11.4
Maha	1	15.2
